,tripduration,starttime,stoptime,startid,startname,endid,endname
9756,564,9/27/2017 6:52,9/27/2017 7:02,3255,8 Ave & W 31 St,468,Broadway & W 56 St
9757,1388,9/27/2017 6:52,9/27/2017 7:15,3255,8 Ave & W 31 St,330,Reade St & Broadway
9758,515,9/27/2017 6:53,9/27/2017 7:02,3255,8 Ave & W 31 St,3443,W 52 St & 6 Ave
9759,721,9/27/2017 6:54,9/27/2017 7:06,3255,8 Ave & W 31 St,3458,W 55 St & 6 Ave
9760,658,9/27/2017 6:54,9/27/2017 7:05,3255,8 Ave & W 31 St,368,Carmine St & 6 Ave
9761,424,9/27/2017 6:54,9/27/2017 7:01,3255,8 Ave & W 31 St,478,11 Ave & W 41 St
9762,285,9/27/2017 6:55,9/27/2017 7:00,3255,8 Ave & W 31 St,458,11 Ave & W 27 St
9763,713,9/27/2017 6:55,9/27/2017 7:07,3255,8 Ave & W 31 St,456,E 53 St & Madison Ave
9764,1055,9/27/2017 6:55,9/27/2017 7:12,3255,8 Ave & W 31 St,3474,6 Ave & Spring St
9765,599,9/27/2017 6:55,9/27/2017 7:05,3255,8 Ave & W 31 St,3443,W 52 St & 6 Ave
9766,686,9/27/2017 6:55,9/27/2017 7:07,3255,8 Ave & W 31 St,519,Pershing Square North
9767,447,9/27/2017 6:56,9/27/2017 7:03,3255,8 Ave & W 31 St,508,W 46 St & 11 Ave
9768,1292,9/27/2017 6:56,9/27/2017 7:17,3255,8 Ave & W 31 St,3467,W Broadway & Spring Street
9769,494,9/27/2017 6:56,9/27/2017 7:04,3255,8 Ave & W 31 St,447,8 Ave & W 52 St
9770,595,9/27/2017 6:56,9/27/2017 7:06,3255,8 Ave & W 31 St,450,W 49 St & 8 Ave
9771,163,9/27/2017 6:57,9/27/2017 6:59,3255,8 Ave & W 31 St,505,6 Ave & W 33 St
9772,419,9/27/2017 6:58,9/27/2017 7:05,3255,8 Ave & W 31 St,540,Lexington Ave & E 29 St
9773,324,9/27/2017 6:59,9/27/2017 7:04,3255,8 Ave & W 31 St,485,W 37 St & 5 Ave
9774,64,9/27/2017 6:59,9/27/2017 7:00,3255,8 Ave & W 31 St,490,8 Ave & W 33 St
9775,488,9/27/2017 6:59,9/27/2017 7:07,3255,8 Ave & W 31 St,458,11 Ave & W 27 St
9776,305,9/27/2017 7:00,9/27/2017 7:05,3255,8 Ave & W 31 St,458,11 Ave & W 27 St
9777,1441,9/27/2017 7:00,9/27/2017 7:24,3255,8 Ave & W 31 St,304,Broadway & Battery Pl
9778,1114,9/27/2017 7:00,9/27/2017 7:18,3255,8 Ave & W 31 St,276,Duane St & Greenwich St
9779,479,9/27/2017 7:00,9/27/2017 7:08,3255,8 Ave & W 31 St,528,2 Ave & E 31 St
9780,432,9/27/2017 7:00,9/27/2017 7:07,3255,8 Ave & W 31 St,173,Broadway & W 49 St
9781,491,9/27/2017 7:00,9/27/2017 7:08,3255,8 Ave & W 31 St,500,Broadway & W 51 St
9782,347,9/27/2017 7:00,9/27/2017 7:06,3255,8 Ave & W 31 St,472,E 32 St & Park Ave
9783,675,9/27/2017 7:01,9/27/2017 7:12,3255,8 Ave & W 31 St,491,E 24 St & Park Ave S
9784,420,9/27/2017 7:01,9/27/2017 7:08,3255,8 Ave & W 31 St,450,W 49 St & 8 Ave
9785,421,9/27/2017 7:01,9/27/2017 7:08,3255,8 Ave & W 31 St,450,W 49 St & 8 Ave
9786,361,9/27/2017 7:01,9/27/2017 7:07,3255,8 Ave & W 31 St,459,W 20 St & 11 Ave
9787,755,9/27/2017 7:02,9/27/2017 7:14,3255,8 Ave & W 31 St,3233,E 48 St & 5 Ave
9788,635,9/27/2017 7:02,9/27/2017 7:12,3255,8 Ave & W 31 St,3443,W 52 St & 6 Ave
9789,685,9/27/2017 7:02,9/27/2017 7:13,3255,8 Ave & W 31 St,456,E 53 St & Madison Ave
9790,891,9/27/2017 7:02,9/27/2017 7:17,3255,8 Ave & W 31 St,347,Greenwich St & W Houston St
9791,659,9/27/2017 7:02,9/27/2017 7:13,3255,8 Ave & W 31 St,527,E 33 St & 2 Ave
9792,1166,9/27/2017 7:03,9/27/2017 7:22,3255,8 Ave & W 31 St,3131,E 68 St & 3 Ave
9793,737,9/27/2017 7:03,9/27/2017 7:15,3255,8 Ave & W 31 St,303,Mercer St & Spring St
9794,735,9/27/2017 7:03,9/27/2017 7:15,3255,8 Ave & W 31 St,303,Mercer St & Spring St
9795,482,9/27/2017 7:06,9/27/2017 7:14,3255,8 Ave & W 31 St,469,Broadway & W 53 St
9796,868,9/27/2017 7:06,9/27/2017 7:21,3255,8 Ave & W 31 St,167,E 39 St & 3 Ave
